date,home,away,home_ml,away_ml,p_home_close,p_away_close,vig,n_books
2022-10-04,Boston Red Sox,Tampa Bay Rays,100,-119,0.47921,0.52079,0.04338,6
2022-10-04,Chicago White Sox,Minnesota Twins,-130,105,0.53676,0.46324,0.05302,6
2022-10-04,Cincinnati Reds,Chicago Cubs,-114,-108,0.50636,0.49364,0.05418,6
2022-10-04,Cleveland Guardians,Kansas City Royals,-190,162,0.63123,0.36877,0.03699,6
2022-10-04,Los Angeles Dodgers,Colorado Rockies,-385,292,0.75703,0.24297,0.04859,6
2022-10-04,Miami Marlins,Atlanta Braves,142,-172,0.39571,0.60429,0.04643,6
2022-10-04,New York Mets,Washington Nationals,-276,221,0.70215,0.29785,0.04592,6
2022-10-04,San Diego Padres,San Francisco Giants,-198,158,0.63092,0.36908,0.05222,6
2022-10-04,Seattle Mariners,Detroit Tigers,-250,202,0.68362,0.31638,0.04486,6
2022-10-04,Texas Rangers,New York Yankees,170,-205,0.35527,0.64473,0.0425,6
2022-10-05,Athletics,Los Angeles Angels,139,-172,0.39794,0.60206,0.05144,6
2022-10-05,Boston Red Sox,Tampa Bay Rays,-145,121,0.56672,0.43328,0.04433,6
2022-10-05,Chicago White Sox,Minnesota Twins,-138,114,0.55432,0.44568,0.04603,6
2022-10-05,Cincinnati Reds,Chicago Cubs,108,-130,0.46023,0.53977,0.04715,6
2022-10-05,Cleveland Guardians,Kansas City Royals,-192,156,0.62778,0.37222,0.0474,6
2022-10-05,Houston Astros,Philadelphia Phillies,-232,190,0.66944,0.33056,0.04317,6
2022-10-05,Los Angeles Dodgers,Colorado Rockies,-375,290,0.75484,0.24516,0.04588,6
2022-10-05,Miami Marlins,Atlanta Braves,-125,105,0.53247,0.46753,0.04336,1
2022-10-05,Milwaukee Brewers,Arizona Diamondbacks,-180,150,0.61573,0.38427,0.04302,6
2022-10-05,New York Mets,Washington Nationals,-153,130,0.58175,0.41825,0.03953,6
2022-10-05,Pittsburgh Pirates,St. Louis Cardinals,-130,108,0.53977,0.46023,0.04715,6
2022-10-05,San Diego Padres,San Francisco Giants,-142,116,0.55918,0.44082,0.04782,6
2022-10-05,Seattle Mariners,Detroit Tigers,-148,124,0.57261,0.42739,0.04221,6
2022-10-05,Texas Rangers,New York Yankees,-110,-110,0.5,0.5,0.04762,6
2023-03-30,Boston Red Sox,Baltimore Orioles,-125,105,0.53247,0.46753,0.04336,6
2023-03-30,Chicago Cubs,Milwaukee Brewers,115,-136,0.44702,0.55298,0.04049,6
2023-03-30,Cincinnati Reds,Pittsburgh Pirates,-140,117,0.55866,0.44134,0.04416,6
2023-03-30,Houston Astros,Chicago White Sox,-143,122,0.56643,0.43357,0.03893,6
2023-03-30,Kansas City Royals,Minnesota Twins,135,-160,0.40852,0.59148,0.04165,6
2023-03-30,Miami Marlins,New York Mets,109,-130,0.45844,0.54156,0.04369,6
